timestamp|open|high|low|close|volume|timeframe|tema|hrma|smma|Z-Score of body size|Candle classification|diag_asc_line_1|diag_asc_line_2|diag_asc_line_3|diag_desc_line_1|diag_desc_line_2|diag_desc_line_3|diag_high_map|diag_low_map|horiz_peak_line_1|horiz_peak_line_2|horiz_peak_line_3|horiz_bottom_line_1|horiz_bottom_line_2|horiz_bottom_line_3|horiz_high_map|horiz_low_map|ha_open|ha_high|ha_low|ha_close|ha_classification|ha_body_size|ha_body_zscore|kc_ultra_extreme_upper|kc_extreme_upper|kc_uppermost|kc_upper|kc_upper_middle|kc_lower_middle|kc_lower|kc_lowermost|kc_extreme_lower|kc_ultra_extreme_lower|sr_support_4|sr_support_3|sr_support_2|sr_support_1|sr_resistance_1|sr_resistance_2|sr_resistance_3|sr_resistance_4|zigzag_peak|zigzag_bottom|ema_26|dual_tema_high|dual_tema_low|pinbar|collected_at
1770595200|2650.81|2663.5|2646.69|2659.91|6241|M5|2665.07267|2667.54903|2654.37451|0.00242|-2|2646.74921|2637.60459|2636.63826|2662.79745|2665.98043|2672.23107|0.0|0.0|2661.99424|2665.96716|2656.65185|2644.15651|2649.95369|2647.18848|0.0|0.0|2655.36|2663.5|2646.69|2655.2275|-1|0.1325|0.5557|2727.15|2710.34|2693.53|2676.72|2668.315|2651.505|2643.1|2626.29|2609.48|2592.67|2613.07|2621.475|2629.88|2638.285|2671.905|2680.31|2688.715|2697.12|0.0|0.0|2659.59211|2664.3144|2645.92887|0|1770803014
1770595500|2656.71|2659.04|2653.52|2657.64|4506|M5|2660.94732|2660.26528|2664.33288|1.44693|1|2654.58517|2658.90458|2642.30515|2656.03093|2650.52005|2668.63333|0.0|0.0|2658.35943|2662.29867|2665.06328|2651.70662|2649.24375|2658.98258|0.0|0.0|2657.175|2659.04|2653.52|2656.7275|-1|0.4475|1.41513|2679.72|2674.2|2668.68|2663.16|2660.4|2654.88|2652.12|2646.6|2641.08|2635.56|2642.48|2645.24|2648.0|2650.76|2661.8|2664.56|2667.32|2670.08|2661.01923|0.0|2673.06791|2659.43894|2653.82876|0|1770803014
1770595800|2658.49|2662.59|2649.72|2652.02|7549|M5|2646.98144|2658.81202|2643.37227|0.98106|1|2649.28536|2656.76997|2651.93586|2657.92503|2661.03941|2666.64394|2664.11993|2649.35164|2660.96313|2666.90574|2658.55125|2650.2304|2647.13875|2648.9675|2662.95469|0.0|2655.255|2662.59|2649.72|2655.705|1|0.45|1.27772|2703.5|2690.63|2677.76|2664.89|2658.455|2645.585|2639.15|2626.28|2613.41|2600.54|2623.98|2630.415|2636.85|2643.285|2669.025|2675.46|2681.895|2688.33|0.0|2646.10703|2636.37974|2662.47313|2650.41844|0|1770803014
1770596100|2654.53|2661.05|2650.85|2660.97|2290|M5|2655.38141|2665.04396|2649.7112|1.45024|1|2654.82612|2640.67264|2666.3563|2659.67327|2664.31905|2661.79094|0.0|0.0|2663.04611|2658.66491|2658.2967|2652.92335|2650.05504|2652.53015|2661.31046|0.0|2657.75|2661.05|2650.85|2656.85|-1|0.9|1.93473|2701.77|2691.57|2681.37|2671.17|2666.07|2655.87|2650.77|2640.57|2630.37|2620.17|2630.45|2635.55|2640.65|2645.75|2666.15|2671.25|2676.35|2681.45|0.0|2650.72601|2651.70192|2661.29312|2651.83686|0|1770803014
1770596400|2658.41|2659.44|2657.06|2658.62|4642|M5|2656.0776|2655.48529|2648.88615|2.70964|1|2662.11399|2666.40059|2646.61686|2658.20368|2663.24474|2673.92263|0.0|0.0|2657.29989|2658.23462|2661.02483|2655.452|2659.96921|2661.35976|2659.84248|0.0|2658.515|2659.44|2657.06|2658.3825|-1|0.1325|1.7593|2668.14|2665.76|2663.38|2661.0|2659.81|2657.43|2656.24|2653.86|2651.48|2649.1|2652.3|2653.49|2654.68|2655.87|2660.63|2661.82|2663.01|2664.2|0.0|0.0|2653.99987|2658.86084|2656.63414|0|1770803014
1770596700|2659.57|2662.31|2655.24|2656.44|9106|M5|2654.29938|2658.72921|2647.71929|-1.53671|2|2650.99304|2661.96085|2659.77887|2662.05999|2666.70448|2652.93145|2662.62137|0.0|2661.5281|2659.28866|2657.56692|2656.41408|2657.23448|2659.92327|0.0|2654.30822|2658.005|2662.31|2655.24|2658.39|1|0.385|1.61294|2684.72|2677.65|2670.58|2663.51|2659.975|2652.905|2649.37|2642.3|2635.23|2628.16|2641.1|2644.635|2648.17|2651.705|2665.845|2669.38|2672.915|2676.45|0.0|0.0|2643.75353|2661.6667|2655.5939|0|1770803014
1770597000|2660.85|2666.4|2657.25|2661.58|3947|M5|2654.90006|2654.58016|2652.57581|-0.97395|0|2652.12466|2651.43812|2669.27815|2663.3001|2670.16492|2664.02775|0.0|0.0|2667.36278|2668.87327|2669.17331|2655.28753|2654.86192|2656.75516|2666.66494|0.0|2661.215|2666.4|2657.25|2661.52|1|0.305|-1.36448|2698.18|2689.03|2679.88|2670.73|2666.155|2657.005|2652.43|2643.28|2634.13|2624.98|2638.95|2643.525|2648.1|2652.675|2670.975|2675.55|2680.125|2684.7|0.0|0.0|2659.05432|2667.38176|2657.07646|0|1770803014
1770597300|2664.3|2666.06|2654.72|2655.37|4257|M5|2662.63646|2658.71514|2644.88742|0.38829|-2|2653.40894|2657.18278|2647.56724|2666.48868|2669.40417|2681.834|0.0|0.0|2664.10416|2666.09584|2671.84673|2657.35383|2654.39179|2650.10409|0.0|0.0|2659.835|2666.06|2654.72|2660.1125|1|0.2775|0.44612|2700.73|2689.39|2678.05|2666.71|2661.04|2649.7|2644.03|2632.69|2621.35|2610.01|2632.04|2637.71|2643.38|2649.05|2671.73|2677.4|2683.07|2688.74|0.0|0.0|2652.72252|2665.10834|2655.37153|0|1770803014
1770597600|2652.68|2656.03|2646.13|2649.97|5540|M5|2648.06092|2642.55936|2662.61134|1.277|2|2650.7784|2642.87162|2652.31824|2652.95857|2645.83973|2647.59676|0.0|0.0|2656.9364|2661.20532|2650.19658|2647.00792|2649.24858|2648.21972|0.0|0.0|2651.325|2656.03|2646.13|2651.2025|-1|0.1225|-1.9728|2689.57|2679.67|2669.77|2659.87|2654.92|2645.02|2640.07|2630.17|2620.27|2610.37|2626.33|2631.28|2636.23|2641.18|2660.98|2665.93|2670.88|2675.83|0.0|2645.83633|2663.17869|2655.48176|2646.15495|1|1770803014
1770597900|2646.4|2650.99|2646.2|2649.36|3177|M5|2652.35453|2655.69756|2639.21795|2.62498|1|2647.19233|2655.58412|2633.64765|2651.12971|2642.19096|2639.26155|0.0|2645.57438|2651.30586|2648.54338|2658.31934|2648.02253|2642.44447|2646.44469|0.0|0.0|2647.88|2650.99|2646.2|2648.2375|1|0.3575|1.8281|2668.52|2663.73|2658.94|2654.15|2651.755|2646.965|2644.57|2639.78|2634.99|2630.2|2636.62|2639.015|2641.41|2643.805|2653.385|2655.78|2658.175|2660.57|0.0|2645.54503|2660.56419|2650.91548|2646.03149|0|1770803014
