No	TimeStamp	Symbol	Timeframe	Close	Tema	Hrma	Smma
0	2025.01.02 00:00	GBPUSD.i	H1	1.25132			
1	2025.01.02 01:00	GBPUSD.i	H1	1.25195			
2	2025.01.02 02:00	GBPUSD.i	H1	1.25163			
3	2025.01.02 03:00	GBPUSD.i	H1	1.25200			
4	2025.01.02 04:00	GBPUSD.i	H1	1.25335			
5	2025.01.02 05:00	GBPUSD.i	H1	1.25363			
6	2025.01.02 06:00	GBPUSD.i	H1	1.25343			
7	2025.01.02 07:00	GBPUSD.i	H1	1.25324			
8	2025.01.02 08:00	GBPUSD.i	H1	1.25293			
9	2025.01.02 09:00	GBPUSD.i	H1	1.25216			
10	2025.01.02 10:00	GBPUSD.i	H1	1.24982			
11	2025.01.02 11:00	GBPUSD.i	H1	1.24824			
12	2025.01.02 12:00	GBPUSD.i	H1	1.24465			
13	2025.01.02 13:00	GBPUSD.i	H1	1.24535			
14	2025.01.02 14:00	GBPUSD.i	H1	1.24200			
15	2025.01.02 15:00	GBPUSD.i	H1	1.24040			
16	2025.01.02 16:00	GBPUSD.i	H1	1.24001			
17	2025.01.02 17:00	GBPUSD.i	H1	1.23750		1.24373	
18	2025.01.02 18:00	GBPUSD.i	H1	1.23744		1.24200	
19	2025.01.02 19:00	GBPUSD.i	H1	1.23721		1.24046	
20	2025.01.02 20:00	GBPUSD.i	H1	1.23692		1.23915	
21	2025.01.02 21:00	GBPUSD.i	H1	1.23689		1.23809	
22	2025.01.02 22:00	GBPUSD.i	H1	1.23782		1.23734	
23	2025.01.02 23:00	GBPUSD.i	H1	1.23690		1.23678	
24	2025.01.03 00:00	GBPUSD.i	H1	1.23801	1.23616	1.23638	
25	2025.01.03 01:00	GBPUSD.i	H1	1.23796	1.23672	1.23617	
26	2025.01.03 02:00	GBPUSD.i	H1	1.23866	1.23739	1.23613	
27	2025.01.03 03:00	GBPUSD.i	H1	1.23852	1.23795	1.23622	
28	2025.01.03 04:00	GBPUSD.i	H1	1.23910	1.23849	1.23640	
29	2025.01.03 05:00	GBPUSD.i	H1	1.23942	1.23907	1.23667	
30	2025.01.03 06:00	GBPUSD.i	H1	1.23938	1.23940	1.23697	
31	2025.01.03 07:00	GBPUSD.i	H1	1.23953	1.23959	1.23726	
32	2025.01.03 08:00	GBPUSD.i	H1	1.24040	1.24007	1.23762	
33	2025.01.03 09:00	GBPUSD.i	H1	1.23995	1.24020	1.23794	
34	2025.01.03 10:00	GBPUSD.i	H1	1.23937	1.24022	1.23823	
35	2025.01.03 11:00	GBPUSD.i	H1	1.24058	1.24060	1.23856	
36	2025.01.03 12:00	GBPUSD.i	H1	1.23923	1.24034	1.23878	
37	2025.01.03 13:00	GBPUSD.i	H1	1.24068	1.24061	1.23903	1.27788
38	2025.01.03 14:00	GBPUSD.i	H1	1.24065	1.24086	1.23932	1.27685
39	2025.01.03 15:00	GBPUSD.i	H1	1.24015	1.24084	1.23955	1.27584
40	2025.01.03 16:00	GBPUSD.i	H1	1.24115	1.24089	1.23976	1.27486
41	2025.01.03 17:00	GBPUSD.i	H1	1.24046	1.24075	1.23991	1.27390
42	2025.01.03 18:00	GBPUSD.i	H1	1.24174	1.24111	1.24012	1.27298
43	2025.01.03 19:00	GBPUSD.i	H1	1.24184	1.24173	1.24044	1.27211
44	2025.01.03 20:00	GBPUSD.i	H1	1.24201	1.24207	1.24078	1.27128
45	2025.01.03 21:00	GBPUSD.i	H1	1.24276	1.24255	1.24116	1.27048
46	2025.01.03 22:00	GBPUSD.i	H1	1.24266	1.24290	1.24154	1.26971
47	2025.01.03 23:00	GBPUSD.i	H1	1.24067	1.24240	1.24174	1.26894
48	2025.01.06 00:00	GBPUSD.i	H1	1.24164	1.24212	1.24184	1.26818
49	2025.01.06 01:00	GBPUSD.i	H1	1.24245	1.24239	1.24199	1.26745
50	2025.01.06 02:00	GBPUSD.i	H1	1.24297	1.24259	1.24216	1.26676
51	2025.01.06 03:00	GBPUSD.i	H1	1.24351	1.24304	1.24240	1.26610
52	2025.01.06 04:00	GBPUSD.i	H1	1.24393	1.24354	1.24271	1.26548
53	2025.01.06 05:00	GBPUSD.i	H1	1.24356	1.24372	1.24299	1.26487
54	2025.01.06 06:00	GBPUSD.i	H1	1.24374	1.24382	1.24323	1.26428
55	2025.01.06 07:00	GBPUSD.i	H1	1.24362	1.24397	1.24346	1.26371
56	2025.01.06 08:00	GBPUSD.i	H1	1.24430	1.24420	1.24369	1.26316
57	2025.01.06 09:00	GBPUSD.i	H1	1.24526	1.24467	1.24399	1.26265
58	2025.01.06 10:00	GBPUSD.i	H1	1.24803	1.24604	1.24453	1.26219
59	2025.01.06 11:00	GBPUSD.i	H1	1.24755	1.24725	1.24523	1.26178
60	2025.01.06 12:00	GBPUSD.i	H1	1.24634	1.24741	1.24580	1.26138
61	2025.01.06 13:00	GBPUSD.i	H1	1.25436	1.24976	1.24680	1.26104
62	2025.01.06 14:00	GBPUSD.i	H1	1.25352	1.25224	1.24814	1.26081
63	2025.01.06 15:00	GBPUSD.i	H1	1.25342	1.25356	1.24948	1.26061
64	2025.01.06 16:00	GBPUSD.i	H1	1.25119	1.25288	1.25038	1.26037
65	2025.01.06 17:00	GBPUSD.i	H1	1.25080	1.25233	1.25097	1.26010
66	2025.01.06 18:00	GBPUSD.i	H1	1.25263	1.25264	1.25153	1.25986
67	2025.01.06 19:00	GBPUSD.i	H1	1.25179	1.25244	1.25194	1.25963
68	2025.01.06 20:00	GBPUSD.i	H1	1.25078	1.25203	1.25218	1.25940
69	2025.01.06 21:00	GBPUSD.i	H1	1.25124	1.25166	1.25229	1.25917
70	2025.01.06 22:00	GBPUSD.i	H1	1.25192	1.25175	1.25241	1.25896
71	2025.01.06 23:00	GBPUSD.i	H1	1.25110	1.25167	1.25249	1.25875
72	2025.01.07 00:00	GBPUSD.i	H1	1.25167	1.25156	1.25252	1.25855
73	2025.01.07 01:00	GBPUSD.i	H1	1.25096	1.25137	1.25250	1.25835
74	2025.01.07 02:00	GBPUSD.i	H1	1.25126	1.25114	1.25242	1.25815
75	2025.01.07 03:00	GBPUSD.i	H1	1.25193	1.25128	1.25238	1.25796
76	2025.01.07 04:00	GBPUSD.i	H1	1.25199	1.25158	1.25241	1.25779
77	2025.01.07 05:00	GBPUSD.i	H1	1.25327	1.25211	1.25253	1.25764
78	2025.01.07 06:00	GBPUSD.i	H1	1.25312	1.25265	1.25274	1.25751
79	2025.01.07 07:00	GBPUSD.i	H1	1.25377	1.25321	1.25302	1.25740
80	2025.01.07 08:00	GBPUSD.i	H1	1.25375	1.25369	1.25332	1.25730
81	2025.01.07 09:00	GBPUSD.i	H1	1.25523	1.25452	1.25374	1.25722
82	2025.01.07 10:00	GBPUSD.i	H1	1.25612	1.25503	1.25418	1.25716
83	2025.01.07 11:00	GBPUSD.i	H1	1.25635	1.25605	1.25474	1.25713
84	2025.01.07 12:00	GBPUSD.i	H1	1.25588	1.25637	1.25525	1.25710
85	2025.01.07 13:00	GBPUSD.i	H1	1.25397	1.25571	1.25549	1.25705
86	2025.01.07 14:00	GBPUSD.i	H1	1.25266	1.25462	1.25543	1.25696
87	2025.01.07 15:00	GBPUSD.i	H1	1.25423	1.25422	1.25531	1.25687
88	2025.01.07 16:00	GBPUSD.i	H1	1.25297	1.25374	1.25510	1.25678
89	2025.01.07 17:00	GBPUSD.i	H1	1.24966	1.25189	1.25452	1.25664
90	2025.01.07 18:00	GBPUSD.i	H1	1.24966	1.25039	1.25372	1.25645
91	2025.01.07 19:00	GBPUSD.i	H1	1.25001	1.24968	1.25294	1.25626
92	2025.01.07 20:00	GBPUSD.i	H1	1.24884	1.24897	1.25216	1.25607
93	2025.01.07 21:00	GBPUSD.i	H1	1.24903	1.24852	1.25143	1.25588
94	2025.01.07 22:00	GBPUSD.i	H1	1.24804	1.24796	1.25071	1.25568
95	2025.01.07 23:00	GBPUSD.i	H1	1.24723	1.24727	1.24997	1.25547
96	2025.01.08 00:00	GBPUSD.i	H1	1.24760	1.24689	1.24929	1.25524
97	2025.01.08 01:00	GBPUSD.i	H1	1.24757	1.24678	1.24871	1.25503
98	2025.01.08 02:00	GBPUSD.i	H1	1.24782	1.24697	1.24827	1.25483
99	2025.01.08 03:00	GBPUSD.i	H1	1.24851	1.24730	1.24799	1.25464
100	2025.01.08 04:00	GBPUSD.i	H1	1.24861	1.24776	1.24786	1.25446
101	2025.01.08 05:00	GBPUSD.i	H1	1.24785	1.24786	1.24776	1.25430
102	2025.01.08 06:00	GBPUSD.i	H1	1.24819	1.24795	1.24769	1.25412
103	2025.01.08 07:00	GBPUSD.i	H1	1.24882	1.24822	1.24769	1.25396
104	2025.01.08 08:00	GBPUSD.i	H1	1.24899	1.24860	1.24777	1.25382
105	2025.01.08 09:00	GBPUSD.i	H1	1.24683	1.24808	1.24772	1.25366
106	2025.01.08 10:00	GBPUSD.i	H1	1.24414	1.24666	1.24735	1.25346
107	2025.01.08 11:00	GBPUSD.i	H1	1.24502	1.24561	1.24684	1.25322
108	2025.01.08 12:00	GBPUSD.i	H1	1.24474	1.24493	1.24630	1.25299
109	2025.01.08 13:00	GBPUSD.i	H1	1.23730	1.24135	1.24506	1.25266
