timestamp	symbol	timeframe	close	ha_open	ha_high	ha_low	ha_close	ha_color	ha_body_size	ha_body_zscore	ha_trend
1771925400	XAUUSD	M5	5172.74	5171.25	5173.51	5168.37	5170.75	-1	0.5	-0.70454	-1
1771925700	XAUUSD	M5	5170.42	5171	5173.46	5166.57	5170.8	-1	0.2	-0.78161	-2
1771926000	XAUUSD	M5	5170.03	5170.9	5172.33	5169.06	5170.44	-1	0.45	-0.71468	-3
1771926300	XAUUSD	M5	5170	5170.67	5170.78	5167.35	5169.53	-1	1.14	-0.53583	-4
1771926600	XAUUSD	M5	5170.5	5170.1	5171.98	5169.9	5170.59	1	0.49	-0.69709	1
1771926900	XAUUSD	M5	5171.47	5170.35	5173.02	5169.96	5171.24	1	0.89	-0.59143	2
1771927200	XAUUSD	M5	5175.98	5170.79	5176	5170.79	5173.6	1	2.8	-0.09661	3
1771927500	XAUUSD	M5	5173.19	5172.19	5176.05	5172.19	5174.45	1	2.25	-0.23607	4
1771927800	XAUUSD	M5	5174.63	5173.32	5174.85	5172.96	5173.91	1	0.59	-0.66123	5
1771928100	XAUUSD	M5	5173.97	5173.61	5175.32	5172.43	5174.07	1	0.46	-0.69187	6
1771928400	XAUUSD	M5	5180.58	5173.84	5181.1	5173.84	5177.41	1	3.56	0.10486	7
1771928700	XAUUSD	M5	5175.97	5175.62	5180.66	5175.62	5178.28	1	2.65	-0.12955	8
1771929000	XAUUSD	M5	5167.24	5176.95	5176.95	5166.27	5171.55	-1	5.4	0.57335	-1
1771929300	XAUUSD	M5	5166.79	5174.25	5174.25	5163.38	5167.33	-1	6.92	0.95613	-2
1771929600	XAUUSD	M5	5170.39	5170.79	5171.82	5165.51	5168.63	-1	2.16	-0.26412	-3
1771929900	XAUUSD	M5	5170.29	5169.71	5171.59	5169.12	5170.35	1	0.64	-0.6553	1
1771930200	XAUUSD	M5	5172.72	5170.03	5173.07	5169.34	5171.35	1	1.32	-0.48222	2
1771930500	XAUUSD	M5	5172.82	5170.69	5174.54	5170.69	5172.89	1	2.2	-0.25652	3
1771930800	XAUUSD	M5	5175.76	5171.79	5176.14	5171.79	5174.37	1	2.58	-0.15745	4
1771931100	XAUUSD	M5	5173.66	5173.08	5176.64	5172.32	5174.6	1	1.52	-0.43168	5
1771931400	XAUUSD	M5	5176.37	5173.84	5177.23	5173.38	5175.16	1	1.32	-0.48263	6
1771931700	XAUUSD	M5	5174	5174.5	5176.88	5173.38	5175.22	1	0.73	-0.63394	7
1771932000	XAUUSD	M5	5171.96	5174.86	5174.86	5171.1	5172.86	-1	2	-0.30486	-1
1771932300	XAUUSD	M5	5174.68	5173.86	5175.05	5171.87	5173.39	-1	0.47	-0.69537	-2
1771932600	XAUUSD	M5	5174.23	5173.62	5175.15	5173.61	5174.42	1	0.79	-0.61254	1
1771932900	XAUUSD	M5	5176.43	5174.02	5176.71	5173.12	5175.12	1	1.1	-0.53225	2
1771933200	XAUUSD	M5	5178.18	5174.57	5178.24	5174.57	5177.17	1	2.6	-0.15007	3
1771933500	XAUUSD	M5	5173.77	5175.87	5178.59	5172.92	5175.86	-1	0.01	-0.81373	-1
1771933800	XAUUSD	M5	5175.54	5175.87	5175.87	5172.22	5174.29	-1	1.58	-0.4089	-2
1771934100	XAUUSD	M5	5172.69	5175.08	5176.72	5172.34	5174.43	-1	0.66	-0.63987	-3
1771934400	XAUUSD	M5	5169.59	5174.75	5174.75	5169.46	5171.31	-1	3.44	0.07464	-4
1771934700	XAUUSD	M5	5170.71	5173.03	5173.03	5168.32	5170.34	-1	2.7	-0.11718	-5
1771935000	XAUUSD	M5	5167.55	5171.68	5171.68	5165.29	5168.64	-1	3.04	-0.02773	-6
1771935300	XAUUSD	M5	5151.32	5170.16	5170.16	5147.17	5158.66	-1	11.5	2.12781	-7
1771935600	XAUUSD	M5	5158.4	5164.41	5164.41	5150.71	5155.64	-1	8.78	1.42593	-8
1771935900	XAUUSD	M5	5161.67	5160.02	5163.24	5157.49	5160.2	1	0.17	-0.76258	1
1771936200	XAUUSD	M5	5159.53	5160.11	5164.51	5157.27	5160.75	1	0.64	-0.64445	2
1771936500	XAUUSD	M5	5156.46	5160.43	5160.43	5153.94	5157.38	-1	3.05	-0.03447	-1
1771936800	XAUUSD	M5	5158.08	5158.91	5159.73	5154.5	5157.19	-1	1.72	-0.3748	-2
1771937100	XAUUSD	M5	5154.5	5158.05	5158.9	5154.34	5156.43	-1	1.62	-0.3983	-3
1771937400	XAUUSD	M5	5147.04	5157.24	5157.24	5145.46	5150.58	-1	6.66	0.87918	-4
1771937700	XAUUSD	M5	5150.85	5153.91	5154.05	5146.68	5149.63	-1	4.28	0.27194	-5
1771938000	XAUUSD	M5	5154.93	5151.77	5160.44	5151.2	5154.44	1	2.67	-0.13963	1
1771938300	XAUUSD	M5	5158.55	5153.11	5158.99	5152.58	5156.26	1	3.15	-0.02018	2
1771938600	XAUUSD	M5	5159	5154.68	5161.23	5154.68	5158.93	1	4.25	0.25757	3
1771938900	XAUUSD	M5	5152.92	5156.8	5159.19	5152.92	5156.01	-1	0.79	-0.62473	-1
1771939200	XAUUSD	M5	5156.97	5156.41	5158.14	5152.1	5155.02	-1	1.39	-0.47303	-2
1771939500	XAUUSD	M5	5156.43	5155.71	5158.35	5154.89	5156.64	1	0.92	-0.59188	1
1771939800	XAUUSD	M5	5153.87	5156.18	5158.67	5149.97	5154.74	-1	1.44	-0.46009	-1
1771940100	XAUUSD	M5	5138.59	5155.46	5155.46	5133.46	5145.34	-1	10.12	1.74055	-2
1771940400	XAUUSD	M5	5146	5150.4	5150.4	5136.75	5142.51	-1	7.88	1.17509	-3
1771940700	XAUUSD	M5	5126.45	5146.46	5146.46	5126.03	5136.14	-1	10.31	1.77949	-4
1771941000	XAUUSD	M5	5133.11	5141.3	5141.3	5122.73	5129.13	-1	12.17	2.22073	-5
1771941300	XAUUSD	M5	5115.35	5135.21	5135.21	5111.29	5123.5	-1	11.72	2.0844	-6
1771941600	XAUUSD	M5	5118.1	5129.35	5129.35	5108.71	5116.68	-1	12.68	2.293	-7
1771941900	XAUUSD	M5	5121.27	5123.02	5127.68	5117.12	5121.05	-1	1.97	-0.34718	-8
1771942200	XAUUSD	M5	5105.37	5122.03	5122.03	5094.27	5110.7	-1	11.33	1.94521	-9
1771942500	XAUUSD	M5	5101.94	5116.37	5116.37	5100.74	5104.11	-1	12.25	2.14498	-10
1771942800	XAUUSD	M5	5118.74	5110.24	5119.38	5101.87	5110.47	1	0.22	-0.77519	1
1771943100	XAUUSD	M5	5115.57	5110.35	5119.44	5110.35	5116.35	1	6	0.62804	2
1771943400	XAUUSD	M5	5117.7	5113.35	5125.08	5110.13	5116.68	1	3.33	-0.02407	3
1771943700	XAUUSD	M5	5135.1	5115.02	5135.27	5114.87	5125.67	1	10.65	1.74081	4
1771944000	XAUUSD	M5	5137.2	5120.35	5138.99	5120.35	5134.89	1	14.55	2.64107	5
1771944300	XAUUSD	M5	5132.98	5127.62	5139.22	5127.62	5134.36	1	6.75	0.76878	6
1771944600	XAUUSD	M5	5129.76	5130.99	5138.76	5126.72	5132.05	1	1.06	-0.59192	7
1771944900	XAUUSD	M5	5127.73	5131.52	5132.65	5127.13	5129.28	-1	2.24	-0.30983	-1
1771945200	XAUUSD	M5	5125.43	5130.4	5130.4	5118.03	5125.34	-1	5.07	0.36503	-2
1771945500	XAUUSD	M5	5135.47	5127.87	5137.43	5125.53	5131	1	3.13	-0.09853	1
1771945800	XAUUSD	M5	5136.96	5129.44	5137.82	5129.44	5135.73	1	6.3	0.65681	2
1771946100	XAUUSD	M5	5140.13	5132.59	5141.12	5132.59	5138.25	1	5.67	0.5072	3
1771946400	XAUUSD	M5	5143.55	5135.42	5144.48	5135.42	5141.58	1	6.16	0.62667	4
1771946700	XAUUSD	M5	5138.31	5138.5	5146.12	5138.03	5141.51	1	3.01	-0.12528	5
1771947000	XAUUSD	M5	5140.81	5140	5141.65	5134.21	5138.74	-1	1.27	-0.53822	-1
1771947300	XAUUSD	M5	5144.64	5139.37	5146.85	5139.37	5143.21	1	3.84	0.08593	1
1771947600	XAUUSD	M5	5149.82	5141.29	5150.11	5141.29	5147.31	1	6.02	0.6312	2
1771947900	XAUUSD	M5	5152.66	5144.3	5155.17	5144.3	5151.88	1	7.57	1.02875	3
1771948200	XAUUSD	M5	5145.91	5148.09	5152.67	5145.03	5149.07	1	0.98	-0.60032	4
1771948500	XAUUSD	M5	5150.3	5148.58	5151.23	5145.47	5148.21	-1	0.37	-0.74929	-1
1771948800	XAUUSD	M5	5148.95	5148.39	5152.16	5148.39	5150.02	1	1.62	-0.436	1
1771949100	XAUUSD	M5	5143.97	5149.21	5149.24	5141.54	5145.88	-1	3.33	-0.01443	-1
1771949400	XAUUSD	M5	5147.46	5147.54	5148.3	5141.42	5145.3	-1	2.24	-0.28284	-2
1771949700	XAUUSD	M5	5147.64	5146.42	5150.63	5146.27	5147.98	1	1.56	-0.4492	1
1771950000	XAUUSD	M5	5143.16	5147.2	5147.51	5142.56	5145.19	-1	2.02	-0.33633	-1
1771950300	XAUUSD	M5	5143.63	5146.19	5146.19	5141.4	5143.13	-1	3.07	-0.07795	-2
1771950600	XAUUSD	M5	5137.39	5144.66	5144.66	5135.25	5140.06	-1	4.6	0.29967	-3
1771950900	XAUUSD	M5	5145.77	5142.36	5146.73	5136.47	5141.56	-1	0.81	-0.64243	-4
1771951200	XAUUSD	M5	5145.42	5141.96	5150.81	5141.96	5146.18	1	4.23	0.2086	1
1771951500	XAUUSD	M5	5136.17	5144.07	5145.75	5134.87	5140.58	-1	3.49	0.02605	-1
1771951800	XAUUSD	M5	5137.98	5142.33	5142.33	5131.27	5136.03	-1	6.3	0.71877	-2
1771952100	XAUUSD	M5	5141.8	5139.18	5141.95	5137.31	5139.76	1	0.58	-0.70003	1
1771952400	XAUUSD	M5	5149.39	5139.47	5149.55	5139.47	5145.68	1	6.21	0.70659	2
1771952700	XAUUSD	M5	5152.87	5142.58	5153.09	5142.58	5151	1	8.43	1.25184	3
1771953000	XAUUSD	M5	5156.23	5146.79	5157.78	5146.79	5154.9	1	8.11	1.17671	4
1771953300	XAUUSD	M5	5160.92	5150.84	5161.28	5150.84	5158.54	1	7.7	1.09041	5
1771953600	XAUUSD	M5	5160.04	5154.69	5163.28	5154.69	5160.79	1	6.09	0.69853	6
1771953900	XAUUSD	M5	5158.52	5157.74	5160.07	5155.12	5158.44	1	0.7	-0.66792	7
1771954200	XAUUSD	M5	5158.27	5158.09	5159.26	5156.5	5158.13	1	0.04	-0.83544	8
1771954500	XAUUSD	M5	5158.37	5158.11	5159.19	5156.76	5158.15	1	0.04	-0.83513	9
1771954800	XAUUSD	M5	5160.52	5158.13	5161.27	5158.13	5159.67	1	1.54	-0.45301	10
1771955100	XAUUSD	M5	5160.16	5158.9	5161.89	5158.64	5160.3	1	1.4	-0.48805	11
1771955400	XAUUSD	M5	5159.04	5159.6	5160.15	5157.55	5159.22	-1	0.38	-0.74625	-1
1771955700	XAUUSD	M5	5163.64	5159.41	5163.74	5158.46	5161.24	1	1.83	-0.38043	1
1771956000	XAUUSD	M5	5167.21	5160.32	5168.43	5160.32	5165.74	1	5.42	0.52864	2
1771956300	XAUUSD	M5	5168.5	5163.03	5170.15	5163.03	5168.2	1	5.17	0.46308	3
1771956600	XAUUSD	M5	5164.24	5165.62	5169.05	5164.2	5166.5	1	0.88	-0.62642	4
1771956900	XAUUSD	M5	5159.84	5166.06	5166.06	5159.84	5162.35	-1	3.71	0.09194	-1
1771957200	XAUUSD	M5	5159.11	5164.21	5164.21	5157.59	5159.75	-1	4.46	0.28029	-2
1771957500	XAUUSD	M5	5158.28	5161.98	5161.98	5155.81	5158.35	-1	3.63	0.06919	-3
1771957800	XAUUSD	M5	5156.52	5160.16	5161.35	5155.17	5157.85	-1	2.32	-0.26813	-4
1771958100	XAUUSD	M5	5157.95	5159	5159.14	5153.83	5156.86	-1	2.14	-0.30892	-5
1771958400	XAUUSD	M5	5159.11	5157.93	5160.12	5157.93	5158.78	1	0.85	-0.63413	1
1771958700	XAUUSD	M5	5159.63	5158.36	5160.87	5156.03	5158.91	1	0.55	-0.70769	2
1771959000	XAUUSD	M5	5160.33	5158.63	5162.71	5158.63	5160.43	1	1.79	-0.3901	3
1771959300	XAUUSD	M5	5160.06	5159.53	5162.93	5159.53	5160.71	1	1.18	-0.54322	4
1771959600	XAUUSD	M5	5156.4	5160.12	5160.42	5155.2	5157.95	-1	2.17	-0.28806	-1
1771959900	XAUUSD	M5	5152.84	5159.04	5159.04	5152.66	5154.77	-1	4.27	0.24877	-2
1771960200	XAUUSD	M5	5156.29	5156.9	5156.9	5149.63	5153.82	-1	3.09	-0.05164	-3
1771960500	XAUUSD	M5	5148.93	5155.36	5157.45	5148.93	5152.9	-1	2.46	-0.2124	-4
1771960800	XAUUSD	M5	5147.34	5154.13	5154.13	5146.42	5148.55	-1	5.58	0.58151	-5
1771961100	XAUUSD	M5	5151.59	5151.34	5152.25	5147.18	5149.59	-1	1.75	-0.39516	-6
1771961400	XAUUSD	M5	5153.64	5150.47	5154.02	5149.07	5152.08	1	1.61	-0.43059	1
1771961700	XAUUSD	M5	5155.71	5151.27	5156.56	5151.27	5154.69	1	3.41	0.02832	2
1771962000	XAUUSD	M5	5152.26	5152.98	5156.83	5152.1	5154.22	1	1.24	-0.52784	3
1771962300	XAUUSD	M5	5154.36	5153.6	5154.8	5151.52	5153.24	-1	0.37	-0.75234	-1
1771962600	XAUUSD	M5	5152.8	5153.42	5155.4	5151.84	5153.6	1	0.18	-0.79717	1
1771962900	XAUUSD	M5	5154.01	5153.51	5154.99	5152.78	5153.65	1	0.14	-0.80788	2
1771963200	XAUUSD	M5	5153.22	5153.58	5155.9	5151.35	5153.62	1	0.04	-0.83086	3
1771963500	XAUUSD	M5	5149.67	5153.6	5153.6	5148.22	5151.06	-1	2.54	-0.1956	-1
